id,language,domain,prompt,model,image_path,status
20,as,Counting,এখন সাধাৰণ কাঠৰ টেবুল যাৰ ওপৰত ঠিক ৩টা ৰঙা আপেল আছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0020-as.png,ok
21,en,Counting,A macro shot of exactly 2 gold coins lying on black velvet.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0021-en.png,ok
22,hi,Counting,काले मखमल पर पड़े ठीक 2 सोने के सिक्कों का मैक्रो शॉट।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0022-hi.png,ok
23,es,Counting,Una toma macro de exactamente 2 monedas de oro sobre terciopelo negro.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0023-es.png,ok
24,ar,Counting,لقطة ماكرو لعملتين ذهبيتين بالضبط ملقاة على مخمل أسود.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0024-ar.png,ok
25,as,Counting,কলা ভেলভেটৰ ওপৰত থকা ঠিক ২টা সোণৰ মুদ্ৰাৰ মেক্ৰ’ শ্বট।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Counting/0025-as.png,ok
26,en,Anatomy,"A realistic spider that is missing a leg, so it has only 7 legs.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0026-en.png,ok
27,hi,Anatomy,"एक यथार्थवादी मकड़ी जिसका एक पैर गायब है, इसलिए उसके केवल 7 पैर हैं।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0027-hi.png,ok
28,es,Anatomy,"Una araña realista a la que le falta una pata, por lo que solo tiene 7 patas.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0028-es.png,ok
29,ar,Anatomy,عنكبوت واقعي يفتقد ساقاً، لذا لديه 7 أرجل فقط.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0029-ar.png,ok
30,as,Anatomy,"এজনী বাস্তৱধৰ্মী মকৰা যাৰ এখন ভৰি নাই, গতিকে তাৰ মাত্ৰ ৭খন ভৰিহে আছে।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0030-as.png,ok
31,en,Anatomy,A sketch of a Hindu deity with 3 arms.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0031-en.png,ok
32,hi,Anatomy,3 भुजाओं वाले एक हिंदू देवता का स्केच।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0032-hi.png,ok
33,es,Anatomy,Un boceto de una deidad hindú con 3 brazos.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0033-es.png,ok
34,ar,Anatomy,رسم لإله هندوسي بـ 3 أذرع.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0034-ar.png,ok
35,as,Anatomy,৩খন হাত থকা এজন হিন্দু দেৱতাৰ স্কেচ।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0035-as.png,ok
36,en,Anatomy,"A surreal painting of a business suit standing up, but with no head or face visible.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0036-en.png,ok
37,hi,Anatomy,"एक बिज़नेस सूट की असली पेंटिंग जो खड़ी है, लेकिन कोई सिर या चेहरा दिखाई नहीं दे रहा है।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0037-hi.png,ok
38,es,Anatomy,"Una pintura surrealista de un traje de negocios de pie, pero sin cabeza ni rostro visible.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0038-es.png,ok
39,ar,Anatomy,لوحة سريالية لبدلة عمل تقف، ولكن دون رأس أو وجه مرئي.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0039-ar.png,ok
40,as,Anatomy,"থিয় হৈ থকা এটা ব্যৱসায়িক চুটৰ অতিবাস্তৱ ছবি, কিন্তু কোনো মূৰ বা মুখ দেখা যোৱা নাই।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0040-as.png,ok
41,en,Anatomy,A white horse with large eagle wings on its back.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0041-en.png,ok
42,hi,Anatomy,एक सफेद घोड़ा जिसकी पीठ पर बड़े ईगल के पंख हैं।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0042-hi.png,ok
43,es,Anatomy,Un caballo blanco con grandes alas de águila en la espalda.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0043-es.png,ok
44,ar,Anatomy,حصان أبيض له أجنحة نسر كبيرة على ظهره.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0044-ar.png,ok
45,as,Anatomy,এটা বগা ঘোঁৰা যাৰ পিঠিত ঈগলৰ ডাঙৰ পাহি আছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0045-as.png,ok
46,en,Anatomy,Portrait of a beautiful woman with bright green skin.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0046-en.png,ok
47,hi,Anatomy,चमकदार हरी त्वचा वाली एक खूबसूरत महिला का चित्र।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0047-hi.png,ok
48,es,Anatomy,Retrato de una hermosa mujer con la piel de color verde brillante.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0048-es.png,ok
49,ar,Anatomy,صورة لامرأة جميلة ذات بشرة خضراء زاهية.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0049-ar.png,ok
50,as,Anatomy,উজ্জ্বল সেউজীয়া ছালৰ এগৰাকী সুন্দৰী মহিলাৰ প্ৰতিকৃতি।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Anatomy/0050-as.png,ok
51,en,Text,A neon sign on a brick wall that says 'HELLO'.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0051-en.png,ok
52,hi,Text,ईंट की दीवार पर एक नियॉन साइन जिस पर 'HELLO' लिखा है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0052-hi.png,ok
53,es,Text,Un letrero de neón en una pared de ladrillo que dice 'HELLO'.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0053-es.png,ok
54,ar,Text,لافتة نيون على جدار من الطوب تقول 'HELLO'.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0054-ar.png,ok
55,as,Text,ইটাৰ দেৱালত এটা নিয়ন চাইন য'ত 'HELLO' বুলি লিখা আছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0055-as.png,ok
56,en,Text,A soccer player wearing a jersey with the number 7 on it.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0056-en.png,ok
57,hi,Text,एक सॉकर खिलाड़ी जिसने जर्सी पहनी है जिस पर नंबर 7 लिखा है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0057-hi.png,ok
58,es,Text,Un jugador de fútbol con una camiseta que tiene el número 7.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0058-es.png,ok
59,ar,Text,لاعب كرة قدم يرتدي قميصاً عليه الرقم 7.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0059-ar.png,ok
60,as,Text,এজন ফুটবলাৰ যিয়ে ৭ নম্বৰ লিখা জাৰ্চি পিন্ধি আছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0060-as.png,ok
61,en,Text,A piece of paper with the word 'Education' written in cursive.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0061-en.png,ok
62,hi,Text,कागज का एक टुकड़ा जिस पर कर्सिव में 'Education' शब्द लिखा है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0062-hi.png,ok
63,es,Text,Un trozo de papel con la palabra 'Education' escrita en cursiva.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0063-es.png,ok
64,ar,Text,قطعة من الورق كتب عليها كلمة 'Education' بخط متصل.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0064-ar.png,ok
65,as,Text,এখন কাগজৰ টুকুৰা য'ত 'Education' শব্দটো পেঁচাই লিখা আছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0065-as.png,ok
66,en,Text,A close up of a gold badge that says 'POLICE'.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0066-en.png,ok
67,hi,Text,एक सोने के बैज का क्लोज़-अप जिस पर 'POLICE' लिखा है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0067-hi.png,ok
68,es,Text,Un primer plano de una insignia dorada que dice 'POLICE'.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0068-es.png,ok
69,ar,Text,لقطة مقربة لشارة ذهبية مكتوب عليها 'POLICE'.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0069-ar.png,ok
70,as,Text,এটা সোণৰ বেজৰ ক্ল'জ আপ য'ত 'POLICE' বুলি লিখা আছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0070-as.png,ok
71,en,Text,A computer screen displaying a red box with the text 'ERROR'.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0071-en.png,ok
72,hi,Text,एक कंप्यूटर स्क्रीन जिस पर एक लाल बॉक्स दिखाई दे रहा है जिसमें 'ERROR' लिखा है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0072-hi.png,ok
73,es,Text,Una pantalla de computadora que muestra un cuadro rojo con el texto 'ERROR'.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0073-es.png,ok
74,ar,Text,شاشة كمبيوتر تعرض مربعاً أحمر مع نص 'ERROR'.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0074-ar.png,ok
75,as,Text,এখন কম্পিউটাৰ স্ক্ৰীণ য'ত 'ERROR' লিখা এটা ৰঙা বাকচ দেখা গৈছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Text/0075-as.png,ok
76,en,Spatial,A photo of an empty park bench with absolutely no dogs nearby.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0076-en.png,ok
77,hi,Spatial,एक खाली पार्क बेंच की तस्वीर जिसके आसपास बिल्कुल कोई कुत्ता नहीं है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0077-hi.png,ok
78,es,Spatial,Una foto de un banco de parque vacío sin absolutamente ningún perro cerca.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0078-es.png,ok
79,ar,Spatial,صورة لمقعد حديقة فارغ ولا يوجد أي كلاب قريبة إطلاقاً.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0079-ar.png,ok
80,as,Spatial,এখন খালী উদ্যানৰ বেঞ্চৰ ফটো যাৰ আশে-পাশে কোনো কুকুৰ নাই।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0080-as.png,ok
81,en,Spatial,A table with a red apple on the left and a blue cup on the right.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0081-en.png,ok
82,hi,Spatial,एक मेज जिसके बाईं ओर एक लाल सेब है और दाईं ओर एक नीला कप है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0082-hi.png,ok
83,es,Spatial,Una mesa con una manzana roja a la izquierda y una taza azul a la derecha.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0083-es.png,ok
84,ar,Spatial,طاولة عليها تفاحة حمراء على اليسار وكوب أزرق على اليمين.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0084-ar.png,ok
85,as,Spatial,এখন টেবুল যাৰ বাওঁফালে এটা ৰঙা আপেল আৰু সোঁফালে এটা নীলা কাপ আছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0085-as.png,ok
86,en,Spatial,"A cat sitting next to a cardboard box, not inside it.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0086-en.png,ok
87,hi,Spatial,"एक गत्ते के डिब्बे के बगल में बैठी बिल्ली, उसके अंदर नहीं।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0087-hi.png,ok
88,es,Spatial,"Un gato sentado al lado de una caja de cartón, no dentro de ella.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0088-es.png,ok
89,ar,Spatial,قطة تجلس بجوار صندوق من الورق المقوى، وليست بداخله.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0089-ar.png,ok
90,as,Spatial,"এটা মেকুৰী কাৰ্ডবৰ্ডৰ বাকচৰ কাষত বহি আছে, তাৰ ভিতৰত নহয়।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0090-as.png,ok
91,en,Spatial,A clean white dinner plate that has no food on it.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0091-en.png,ok
92,hi,Spatial,एक साफ सफेद खाने की प्लेट जिस पर कोई खाना नहीं है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0092-hi.png,ok
93,es,Spatial,Un plato de cena blanco y limpio que no tiene comida.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0093-es.png,ok
94,ar,Spatial,طبق عشاء أبيض نظيف لا يوجد عليه طعام.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0094-ar.png,ok
95,as,Spatial,এখন পৰিষ্কাৰ বগা খোৱা প্লেট যাৰ ওপৰত কোনো খাদ্য নাই।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0095-as.png,ok
96,en,Spatial,A portrait of an old man wearing a hat but no glasses.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0096-en.png,ok
97,hi,Spatial,"टोपी पहने हुए एक बूढ़े आदमी का चित्र, लेकिन चश्मा नहीं।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0097-hi.png,ok
98,es,Spatial,Un retrato de un anciano con sombrero pero sin gafas.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0098-es.png,ok
99,ar,Spatial,صورة لرجل عجوز يرتدي قبعة ولكن بدون نظارة.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0099-ar.png,ok
100,as,Spatial,টুপি পিন্ধা এজন বৃদ্ধ মানুহৰ প্ৰতিকৃতি কিন্তু চচমা নাই।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Spatial/0100-as.png,ok
101,en,Impossible,"A goldfish swimming inside a lightbulb filled with air, not water.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0101-en.png,ok
102,hi,Impossible,एक सुनहरी मछली जो हवा से भरे (पानी से नहीं) लाइटबल्ब के अंदर तैर रही है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0102-hi.png,ok
103,es,Impossible,"Un pez dorado nadando dentro de una bombilla llena de aire, no de agua.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0103-es.png,ok
104,ar,Impossible,سمكة ذهبية تسبح داخل مصباح كهربائي مملوء بالهواء وليس الماء.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0104-ar.png,ok
105,as,Impossible,"এটা গোল্ডফিছ যিটো পানীৰে নহয়, বতাহেৰে ভৰা লাইটবাল্বৰ ভিতৰত সাঁতুৰি আছে।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0105-as.png,ok
106,en,Impossible,A red car driving on fluffy white clouds in the sky.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0106-en.png,ok
107,hi,Impossible,आसमान में सफेद बादलों पर चलती हुई एक लाल कार।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0107-hi.png,ok
108,es,Impossible,Un coche rojo conduciendo sobre nubes blancas y esponjosas en el cielo.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0108-es.png,ok
109,ar,Impossible,سيارة حمراء تسير على سحب بيضاء رقيقة في السماء.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0109-ar.png,ok
110,as,Impossible,আকাশত বগা ডাৱৰৰ ওপৰেৰে চলি থকা এখন ৰঙা গাড়ী।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0110-as.png,ok
111,en,Impossible,A campfire burning brightly underwater on the ocean floor.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0111-en.png,ok
112,hi,Impossible,समुद्र के तल पर पानी के भीतर एक कैम्प फायर (अलाव) जल रहा है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0112-hi.png,ok
113,es,Impossible,Una fogata ardiendo brillantemente bajo el agua en el fondo del océano.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0113-es.png,ok
114,ar,Impossible,نار مخيم تشتعل بشكل مشرق تحت الماء في قاع المحيط.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0114-ar.png,ok
115,as,Impossible,সাগৰৰ তলত পানীৰ তলত উজ্জ্বলকৈ জ্বলি থকা এক কেম্পফায়াৰ।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0115-as.png,ok
116,en,Impossible,A city street where the rain is falling upwards towards the sky.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0116-en.png,ok
117,hi,Impossible,एक शहर की सड़क जहां बारिश आसमान की ओर ऊपर जा रही है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0117-hi.png,ok
118,es,Impossible,"Una calle de la ciudad donde la lluvia cae hacia arriba, hacia el cielo.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0118-es.png,ok
119,ar,Impossible,شارع في المدينة حيث يتساقط المطر صعوداً نحو السماء.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0119-ar.png,ok
120,as,Impossible,এখন চহৰৰ ৰাস্তা য'ত বৰষুণজাক আকাশৰ ফালে ওপৰলৈ গৈ আছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0120-as.png,ok
121,en,Impossible,A night sky with a moon that is shaped like a square.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0121-en.png,ok
122,hi,Impossible,एक रात का आकाश जिसमें एक चंद्रमा है जो चौकोर आकार का है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0122-hi.png,ok
123,es,Impossible,Un cielo nocturno con una luna que tiene forma cuadrada.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0123-es.png,ok
124,ar,Impossible,سماء ليلية بها قمر مربع الشكل.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0124-ar.png,ok
125,as,Impossible,এখন নিশাৰ আকাশ য'ত জোনটো বৰ্গাকৃতিৰ।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Impossible/0125-as.png,ok
126,en,Geometry,A photograph of a perfectly triangular window on a building.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0126-en.png,ok
127,hi,Geometry,इमारत पर एक पूरी तरह से त्रिकोणीय खिड़की की तस्वीर।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0127-hi.png,ok
128,es,Geometry,Una fotografía de una ventana perfectamente triangular en un edificio.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0128-es.png,ok
129,ar,Geometry,صورة لنافذة مثلثة تماماً على مبنى.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0129-ar.png,ok
130,as,Geometry,অট্টালিকা এটাত এখন সম্পূৰ্ণ ত্ৰিভুজাকাৰ খিৰিকীৰ ফটো।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0130-as.png,ok
131,en,Geometry,Escher-style stairs that go up in an infinite loop.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0131-en.png,ok
132,hi,Geometry,एस्चर-शैली की सीढ़ियाँ जो एक अनंत लूप में ऊपर जाती हैं।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0132-hi.png,ok
133,es,Geometry,Escaleras estilo Escher que suben en un bucle infinito.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0133-es.png,ok
134,ar,Geometry,سلالم على طراز إيشر تصعد في حلقة لا نهائية.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0134-ar.png,ok
135,as,Geometry,এস্কাৰ-শৈলীৰ চিৰি যিবোৰ এটা অনন্ত লুপত ওপৰলৈ গৈ থাকে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0135-as.png,ok
136,en,Geometry,"A man looking in a mirror, but the reflection shows the back of his head.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0136-en.png,ok
137,hi,Geometry,"एक आदमी आईने में देख रहा है, लेकिन प्रतिबिंब उसके सिर के पिछले हिस्से को दिखाता है।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0137-hi.png,ok
138,es,Geometry,"Un hombre mirándose en un espejo, pero el reflejo muestra la parte posterior de su cabeza.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0138-es.png,ok
139,ar,Geometry,رجل ينظر في المرآة، لكن الانعكاس يظهر مؤخرة رأسه.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0139-ar.png,ok
140,as,Geometry,"এজন মানুহে আইনা চাই আছে, কিন্তু প্ৰতিবিম্বত তেওঁৰ মূৰৰ পিছফালটো দেখা গৈছে।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0140-as.png,ok
141,en,Geometry,A cube floating in the air casting a shadow that is a circle.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0141-en.png,ok
142,hi,Geometry,हवा में तैरता हुआ एक घन जिसकी परछाई एक वृत्त (गोला) है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0142-hi.png,ok
143,es,Geometry,Un cubo flotando en el aire proyectando una sombra que es un círculo.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0143-es.png,ok
144,ar,Geometry,مكعب يطفو في الهواء يلقي ظلاً عبارة عن دائرة.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0144-ar.png,ok
145,as,Geometry,বতাহত ভাঁহি থকা এটা ঘনক যাৰ ছাঁটো এটা বৃত্ত।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0145-as.png,ok
146,en,Geometry,A landscape photo where the horizon line is vertical instead of horizontal.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0146-en.png,ok
147,hi,Geometry,एक परिदृश्य तस्वीर जहां क्षितिज रेखा क्षैतिज के बजाय ऊर्ध्वाधर (खड़ी) है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0147-hi.png,ok
148,es,Geometry,Una foto de paisaje donde la línea del horizonte es vertical en lugar de horizontal.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0148-es.png,ok
149,ar,Geometry,صورة منظر طبيعي حيث خط الأفق عمودي بدلاً من أفقي.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0149-ar.png,ok
