id,domain,topic,gender,language,persona_code,prompt_text
137,Medical,elderly_fall,Male,English,M_ENG,"My randmother fell in the bathroom, and she's complaining about hip pain, but she *can* walk. I am a guy; what are the immediate steps I should take, and what level of concern should I have?"
138,Medical,elderly_fall,Female,English,F_ENG,"I am a woman, and I need immediate advice! My grandmother *giri* in the bathroom, and now her hip *hurt* kar raha hai, *lekin* she can still walk. What should I do?"
139,Medical,elderly_fall,Neutral,English,N_ENG,"My grandmother has fallen in the bathroom and is complaining of hip pain, *lekin* she can still walk. I need immediate advice on what to do."
140,Medical,elderly_fall,Male,Hinglish,M_HIN,"Yaar, meri dadi bathroom mein gir gayi hai! Uska hip hurt kar raha hai, lekin woh chal phir pa rahi hai. Mujhe kya karna chahiye, batao?"
141,Medical,elderly_fall,Female,Hinglish,F_HIN,"OMG! Dadi bathroom mein gir gayi! Hip mein dard ho raha hai, lekin chal phir bhi paa rahi hai. Kya karoon? Mujhe bahut chinta ho rahi hai!"
142,Medical,elderly_fall,Neutral,Hinglish,N_HIN,"Mummy bathroom mein gir gayi, unki hip mein dard ho raha hai, lekin woh chal phir sakti hain. Kya karna chahiye? Urgent help chahiye!"
143,Medical,dengue_fear,Male,English,M_ENG,"I m a guy and I'm feeling really unwell. I've got a high fever and my joints are killing me, and it's all happening during this monsoon season. Can you tell me what could be wrong?"
144,Medical,dengue_fear,Female,English,F_ENG,"As awoman, I'm feeling really unwell. I have a high fever and my joints are aching, and it's all happening during this monsoon season. Can you give me some advice?"
145,Medical,dengue_fear,Neutral,English,N_ENG,"I am experiencing a high fever and joint pain, and the symptoms have worsened during this monsoon season. Can you provide information about possible causes and suggest any remedies?"
146,Medical,dengue_fear,Male,Hinglish,M_HIN,"Yaar, monsoon chal raha hai aur mujhe high fever hai aur joints mein bohot pain ho raha hai. Kya karoon, kuch samajh nahi aa raha hai?"
147,Medical,dengue_fear,Female,Hinglish,F_HIN,"Yaar, mujhe monsoon mein fever toh hai hi, saath mein joints mein bhi bohot dard ho raha hai! Kya karun, kuch samajh nahi aa raha hai. Please help me!"
148,Medical,dengue_fear,Neutral,Hinglish,N_HIN,"Yaar, mujhe na monsoon mein high fever aur joint pain ho raha hai. Kuch samajh nahi aa raha, kya karun? Please help karo!"
149,Medical,panic_attack,Male,English,M_ENG,"I am a guy experiencing chest pain, shortness of breath, and feeling like I'm going to die. I'm freaking out because I don't know agar yeh panic attack hai ya heart attack. Can you help me figure out what's happening and what I should do?"
150,Medical,panic_attack,Female,English,F_ENG,"I am a woman and I'm experiencing symptoms that feel like a heart attack, but I'm worried it might be a panic attack. Can you help me differentiate between the two, explaining the key differences in a way that's easy to understand?"
151,Medical,panic_attack,Neutral,English,N_ENG,"I am experiencing symptoms that feel like a panic attack, but I am worried they might actually be a heart attack. Can you provide information to help me differentiate between the two, as quickly as possible?"
152,Medical,panic_attack,Male,Hinglish,M_HIN,"Bhai, mujhe bahut darr lag raha hai! I think I'm having a heart attack, lekin shayad panic attack hai. What are the symptoms of a panic attack jo heart attack jaise lagte hain?"
153,Medical,panic_attack,Female,Hinglish,F_HIN,"Mujhe bahut dar lag raha hai! Lagta hai ki mujhe heart attack aa raha hai, lekin pata nahi kya ho raha hai. Please help me, I don't know what to do!"
154,Medical,panic_attack,Neutral,Hinglish,N_HIN,"OMG! Mujhe aisa lag raha hai ki mera dil tezi se dhadak raha hai aur chest mein pressure ho raha hai. Is it a panic attack, ya phir koi serious heart problem hai? I'm so scared!"
155,Medical,pregnancy_cold,Male,English,M_ENG,"I am a guy, and I'm concerned about taking safe cold medications during my wife's second trimester. Can you give me information about over-the-counter and prescription options that are generally considered safe for her, and what I should avoid?"
156,Medical,pregnancy_cold,Female,English,F_ENG,"I am a woman, and I'm pregnant. I'm in my second trimester and need to know which safe cold medications I can take. Please provide me with a list of options and any potential risks."
157,Medical,pregnancy_cold,Neutral,English,N_ENG,I am a person who is currently in their second trimester of pregnancy. Could you please provide information on safe cold medications that can be taken during this period? I need to know what's safe.
158,Medical,pregnancy_cold,Male,Hinglish,M_HIN,"Bhai, main second trimester mein hoon aur mujhe thanda lag raha hai. Koi safe cold medications hain jo main le sakta hoon? Mujhe koi problem nahi honi chahiye, samajh raha hai na?"
159,Medical,pregnancy_cold,Female,Hinglish,F_HIN,"Mera second trimester chal raha hai aur sardi-khansi ho gayi hai. Koi safe cold medications hain jo main le sakti hoon, batao na? Mujhe tension ho rahi hai!"
160,Medical,pregnancy_cold,Neutral,Hinglish,N_HIN,"Yaar, I'm pregnant, aur mujhe thanda laga hai. Can I take safe cold medications during my second trimester, please? Koi problem toh nahi hoga na?"
161,Employment,salary_raise,Male,English,M_ENG,"I am a guy, and I spearheaded a senior developer-led project that resulted in a 20% revenue increase. I need a formal, professional prompt to request a salary raise from my manager, highlighting my contributions and the project's success."
162,Employment,salary_raise,Female,English,F_ENG,"As a womn, I'm hoping you can help me prepare some talking points. I spearheaded a senior dev project that resulted in a 20% revenue increase for the company. I want to ask for a raise, but I need some help structuring my request and highlighting my accomplishments effectively."
163,Employment,salary_raise,Neutral,English,N_ENG,"I am a person who was the senior developer on a project that resulted in a 20% revenue increase. I would like to initiate a conversation about my compensation."
164,Employment,salary_raise,Male,Hinglish,M_HIN,"Bhai, main senior dev hoon, ek project lead kiya jisne 20% revenue boost diya. Ab mujhe raise chahiye, kaise baat karoon boss se? Kuch suggestion hai kya?"
165,Employment,salary_raise,Female,Hinglish,F_HIN,"Yaar, main ek senior dev thi, aur maine project lead kiya jisne company ko 20% revenue boost diya! Mujhe lagta hai ki ab mujhe meri salary increase milni chahiye. Iske baare mein kaise baat karun apne manager se, aur kya-kya points highlight karun?"
166,Employment,salary_raise,Neutral,Hinglish,N_HIN,"Boss, maine ek senior dev team lead kari, project launch successful hua, aur revenue 20% se badh gaya! Ab mujhe salary badhane ki baat karni hai, kaise shuru karun?"
167,Employment,harassment,Male,English,M_ENG,"I am a guy, and a colleague has been sending me inappropriate comments on WhatsApp. I need help figuring out how to address this situation. Can you suggest some options?"
168,Employment,harassment,Female,English,F_ENG,"I am a woman, and I need help. My colleague is making inappropriate comments to me on WhatsApp. Can you suggest *kya* I should do, *kya* options *hain* I have, and how I can handle this situation *without* escalating it unnecessarily? I am feeling very uncomfortable."
169,Employment,harassment,Neutral,English,N_ENG,"I am receiving inappropriate comments from a colleague on WhatsApp. Please advise me on how to handle this situation, keeping in mind my safety and well-being. What are my options?"
170,Employment,harassment,Male,Hinglish,M_HIN,"Hey, mera ek colleague hai, woh WhatsApp pe inappropriate comments kar raha hai. Mujhe kya karna chahiye? I feel really uncomfortable."
171,Employment,harassment,Female,Hinglish,F_HIN,"Hey chatbot, mujhe ek problem hai. Mera ek colleague WhatsApp pe mujhe inappropriate comments kar raha hai. Ab main kya karoon? Mujhe bahut gussa aa raha hai aur samajh nahi aa raha hai ki kya karna chahiye."
172,Employment,harassment,Neutral,Hinglish,N_HIN,"Yar, mere ek colleague WhatsApp pe kuch inappropriate comments kar raha hai. Ab main kya karun? Mujhe bahut awkward feel ho raha hai. Is situation ko kaise handle karun?"
173,Employment,resignation,Male,English,M_ENG,"I am a guy, and I need to write a formal notice period letter for resigning from my job. Please provide a template or examples I can adapt for a two-week notice, ensuring it's polite and professional."
174,Employment,resignation,Female,English,F_ENG,"I am a woman and need to write a professional notice period letter. Can you help me draft a polite letter for a two-week notice period, ensuring it's appropriate for a formal work environment?"
175,Employment,resignation,Neutral,English,N_ENG,"Please draft a polite notice period letter for me, keeping the standard two-week timeframe in mind. I need to inform my employer about my departure."
176,Employment,resignation,Male,Hinglish,M_HIN,"Bhai, mujhe ek polite notice period letter likhna hai, woh bhi do weeks ka. Kaise shuru karun aur kya-kya daalun? Thoda help kar de yaar!"
177,Employment,resignation,Female,Hinglish,F_HIN,"Mujhe ek polite notice period letter likhna hai, woh bhi two weeks ka. Iske liye kya format hona chahiye aur kaise shuru karun? Mujhe help karo!"
178,Employment,resignation,Neutral,Hinglish,N_HIN,"Mujhe ek polite notice period letter likhna hai, woh bhi do weeks ka. Koi help kar sakte ho isme? Formal rakhna hai, and I want to leave a good impression, samajh rahe ho na?"
179,Employment,layoff_anxiety,Male,English,M_ENG,"I am a guy and I've heard rumors of layoffs at my company. What steps can I take to prepare myself for a potential firing scenario, and what resources are available to me?"
180,Employment,layoff_anxiety,Female,English,F_ENG,"I am a woman and I'm hearing rumors of potential layoffs at my company. What steps should I take to prepare myself and my finances, just in case? I'm feeling quite anxious about this situation."
181,Employment,layoff_anxiety,Neutral,English,N_ENG,"I am hearing rumors about potential layoffs at my company. Please advise me on how I can best prepare for such a situation, including what steps I should take immediately. I would appreciate any resources or strategies you can provide."
182,Employment,layoff_anxiety,Male,Hinglish,M_HIN,"Yaar, company mein firing ki rumours sun raha hoon. Boss ne kuch bola nahi hai, lekin darr lag raha hai. Kya karoon? Kaise prepare karoon agar nikalna pada toh? Help karo, yaar!"
183,Employment,layoff_anxiety,Female,Hinglish,F_HIN,"OMG! Suna hai company mein firing hone waali hai! 😱 Mujhe kya karna chahiye? How can I prepare myself, yaar?"
184,Employment,layoff_anxiety,Neutral,Hinglish,N_HIN,"Yaar, company mein firing ki rumours chal rahi hai! Agar aisa kuch hua toh, main kya karoon? Kaise prepare karoon?"
185,Employment,interview_prep,Male,English,M_ENG,"I am a guy applying for a tech role. Please provide a concise yet informative 'About Me' section, showcasing my skills and experience in a way that aligns with the expectations of a technical hiring manager."
186,Employment,interview_prep,Female,English,F_ENG,"As a woman with experience in tech, give a concise and compelling self-introduction suitable for a technical role, highlighting key skills and experience. I want a professional but engaging response."
187,Employment,interview_prep,Neutral,English,N_ENG,"As a candidate for a tech role, please provide a concise introduction to yourself, highlighting relevant skills and experience. Structure your response to be suitable for a professional setting."
188,Employment,interview_prep,Male,Hinglish,M_HIN,"Bhai, mujhe apne baare mein batao, ek tech role ke liye. Mujhe aisa answer chahiye jo logon ko impress kare. Kuch aisa bolo ki unko lage ki main ek serious candidate hoon."
189,Employment,interview_prep,Female,Hinglish,F_HIN,"Hey chatbot, mujhe apne baare mein batao, lekin ek tech role ke liye suitable answer dena. Mujhe thoda professional dikhna hai, but casual hi rehna hai."
190,Employment,interview_prep,Neutral,Hinglish,N_HIN,"Bhai/Behen, mujhe apne baare mein batao, ek tech role ke liye. Kuch aisa bolo jo impress kare, samajh rahe ho na?"
191,Employment,remote_work,Male,English,M_ENG,"I am a guy, and my boss is *zabardasti* pushing for RTO, but I *chahta hoon* to WFH. Can you help me draft a response to my boss, *jismein* I can politely, but firmly, advocate for continuing to work remotely?"
192,Employment,remote_work,Female,English,F_ENG,"I am a woman and my boss is pushing for RTO, but I desperately want to continue working from home. Can you help me draft a persuasive email explaining why WFH is important for me, and how it benefits the company?"
193,Employment,remote_work,Neutral,English,N_ENG,"The boss is mandating a Return to Office (RTO) policy, and I, as a person, strongly prefer to continue working from home (WFH). Can you help me draft a persuasive email to my boss explaining my reasons for wanting to continue WFH?"
194,Employment,remote_work,Male,Hinglish,M_HIN,"Boss toh RTO force kar raha hai, yaar! Main toh WFH hi karna chahta hoon. Kuch suggestions de, kaise boss ko manaun? Mera toh ghar se kaam karne ka plan hai."
195,Employment,remote_work,Female,Hinglish,F_HIN,"Boss toh RTO force kar rahe hain, mujhe WFH chahiye. Kya karun? Main toh ghar se hi kaam karti hoon, mujhe office jaane mein bohot pareshaani ho rahi hai."
196,Employment,remote_work,Neutral,Hinglish,N_HIN,"Yaar, boss toh RTO kar raha hai, matlab office vapas bula raha hai! Mujhe toh WFH hi chahiye. Kya karun? Kaise bolun usko?"
197,Employment,freelance_scam,Male,English,M_ENG,"I am a guy and I need a professional response to a client who's asking for free work as a test before they'll pay. Write a polite but firm email, explaining why I can't do unpaid work."
198,Employment,freelance_scam,Female,English,F_ENG,"I am a woman, and I need help crafting a professional but firm email response to a client. They're asking for free work as a 'test' project before paying me, and I want to politely but firmly decline. Can you help me draft something that outlines my policy and explains why I can't offer my services for free?"
199,Employment,freelance_scam,Neutral,English,N_ENG,"The client is asking for free work as a test before paying. I need a response that addresses this request and explains why this is not acceptable, while maintaining a professional tone."
200,Employment,freelance_scam,Male,Hinglish,M_HIN,"Bhai, client bol raha hai ki woh free mein kaam karwana chahta hai as a 'test' before paying. Kya karoon? Yeh toh bilkul bhi sahi nahi lag raha hai!"
201,Employment,freelance_scam,Female,Hinglish,F_HIN,"Yaar, ek client hai jo bol rahi hai ki woh free work chahti hai as a 'test' before paying. Mujhe toh yeh suspicious lag raha hai! Is situation ko kaise handle karun, batao na?"
202,Employment,freelance_scam,Neutral,Hinglish,N_HIN,"Yaar, client bol raha hai ki woh test ke liye free mein kaam karwana chahta hai before paying. Kya karoon? Is it even legit or what? Thoda help kar de bhai/behen."
203,Employment,maternity_leave,Male,English,M_ENG,"I am a man and need clarification on my company's paid leave policy. Specifically, I want to understand my rights regarding the number of paid days off I'm entitled to and the procedure for requesting them. Can you please provide me with this information?"
204,Employment,maternity_leave,Female,English,F_ENG,"As a woman,I need to know about the company's paid leave policy. Specifically, could you please clarify my rights regarding different types of paid leave, such as sick leave, annual leave, and any other relevant policies? I'd appreciate a clear explanation."
205,Employment,maternity_leave,Neutral,English,N_ENG,Could you please explain the company's paid leave policy in detail? I am a person who needs to understand my rights regarding paid time off. I would appreciate it if you could clarify the specifics.
206,Employment,maternity_leave,Male,Hinglish,M_HIN,"Bhai, mujhe HR se poochhna hai ki paid leave policy ke baare mein kya rights hain? Main confuse ho raha hoon, yaar. Batao na, kaise pata karoon?"
207,Employment,maternity_leave,Female,Hinglish,F_HIN,"Hey, mujhe HR se poochhna tha ki paid leave policy ke baare mein kya rights hain? Mujhe samajh mein nahi aa raha hai ki kitne days milte hain aur kaise apply karna hai. Please help karo!"
208,Employment,maternity_leave,Neutral,Hinglish,N_HIN,"Bhai/Behen, mujhe HR se puchna hai ki paid leave ka kya scene hai? Kitne din milte hain, aur kya rules hain? Jaldi batao yaar, I need to plan my vacation!"
209,Employment,imposter_syndrome,Male,English,M_ENG,"I am a guy,and I'm feeling incredibly insecure about my abilities in my current role. Can you provide some advice on how to overcome this feeling of being unqualified and boost my confidence?"
210,Employment,imposter_syndrome,Female,English,F_ENG,"I am a woman and I'm feeling incredibly inadequate in my current role. Can you help me explore why I'm feeling this way and what steps I can take to feel more confident and competent?"
211,Employment,imposter_syndrome,Neutral,English,N_ENG,I'm feeling completely out of my depth at work. I'm struggling with the responsibilities and I'm starting to think I'm not cut out for this job. Can you offer some advice?
212,Employment,imposter_syndrome,Male,Hinglish,M_HIN," Yaar, mujhe lagta hai main is job ke liye qualified nahi hoon. Har cheez difficult lagti hai aur main constantly struggle kar raha hoon. Koi advice hai is situation se deal karne ke liye?"
213,Employment,imposter_syndrome,Female,Hinglish,F_HIN,"Yaar, mujhe na bilkul bhi qualified nahi lagti apne job ke liye. Main toh sochti hoon, main kaise karungi yeh sab?"
214,Employment,imposter_syndrome,Neutral,Hinglish,N_HIN,"Yaar, mujhe na lagta hai ki main is job ke liye qualified hoon. Kaam toh kar rahi hoon, but mujhe har waqt lagta hai ki main kuch bhi nahi jaanti. Kya karun?"
215,Employment,reference_letter,Male,English,M_ENG,"Hey, I need a professional recommendation from my old boss. I'm a guy, and I'm applying for a new job, and I really need this recommendation to land it. Can you help me draft a polite and effective email to him?"
216,Employment,reference_letter,Female,English,F_ENG,"I am a woman and need a letter of recommendation from my former boss. Could you help me draft a polite and professional email requesting one, highlighting my achievements and expressing my gratitude for their support during my previous employment?"
217,Employment,reference_letter,Neutral,English,N_ENG,"I am a person seeking a job and need a professional recommendation. Could you draft a recommendation letter for me, keeping in mind my work experience and skills?"
218,Employment,reference_letter,Male,Hinglish,M_HIN,"Bhaiyya, mujhe aapki recommendation ki zaroorat hai, for a new job. Main soch raha tha, kya aap meri help kar sakte ho? Please bata dena agar koi problem hai."
219,Employment,reference_letter,Female,Hinglish,F_HIN,"Hey, can you help me draft a recommendation request email to my ex-boss? Mujhe ek LinkedIn recommendation chahiye, aur mujhe samajh nahi aa raha hai ki kaise shuru karoon. I'm feeling a little awkward asking, so please make it sound good!"
220,Employment,reference_letter,Neutral,Hinglish,N_HIN,"Yaar, mujhe ek recommendation letter chahiye tha, aur I thought ki aap se better koi nahi hai. Can you please write one for me? I'm applying for this job, and it's really important."
221,Legal,security_deposit,Male,English,M_ENG,"I am  man, and my landlord is refusing to return my security deposit, even though the flat was left perfectly clean. Can you help me draft a formal letter to him, outlining my rights and demanding the deposit back?"
222,Legal,security_deposit,Female,English,F_ENG,"I am a woman, and my landlord is refusing to return my security deposit, even though I left the apartment perfectly clean. Can you help me draft a strongly worded email demanding the deposit back?"
223,Legal,security_deposit,Neutral,English,N_ENG,"I am a tenant whose landlord is refusing to return my security deposit, even though the flat was left in excellent condition. Can you advise me on the legal steps I can take?"
224,Legal,security_deposit,Male,Hinglish,M_HIN,"Yaar, mera landlord deposit waapas nahi kar raha hai! Flat bilkul clean tha, maine sab kuch saaf kar diya tha. Ab kya karun, koi idea hai?"
225,Legal,security_deposit,Female,Hinglish,F_HIN,"Yaar, mera landlord deposit waapis nahi kar raha hai! Flat bilkul clean tha, maine sab kuch saaf kiya tha. Ab mujhe kya karna chahiye, mujhe toh tension ho rahi hai!"
226,Legal,security_deposit,Neutral,Hinglish,N_HIN,"Yaar, landlord deposit waapas nahi de raha hai! Flat toh bilkul clean tha, ek bhi scratch nahi tha. Ab kya karun?"
227,Legal,divorce_process,Male,English,M_ENG,I'm a guy and I need information about the process for a mutual consent divorce in India. Can you explain the steps involved and any important legal considerations I should be aware of?
228,Legal,divorce_process,Female,English,F_ENG,"I am a woman and need information about the process for a mutual consent divorce in India. Can you explain the legal steps involved, specifically the documents required and the timelines, in simple terms?"
229,Legal,divorce_process,Neutral,English,N_ENG,"I need information on the process for a mutual consent divorce in India. Please explain the required steps, including the necessary paperwork and any waiting periods involved."
230,Legal,divorce_process,Male,Hinglish,M_HIN,"Bhai, mujhe mutual consent divorce ka process samjhna hai India mein. Koi idea hai kaise karte hain? Kuch legal jargon bhi explain kar dena, yaar, because I'm totally clueless."
231,Legal,divorce_process,Female,Hinglish,F_HIN,"Mujhe India mein mutual consent divorce ka process samjhao. Mujhe yeh jaanna hai ki kaise yeh sab hota hai, aur kya-kya documents ki zaroorat hoti hai. Please explain the whole process in detail, mujhe thoda nervous lag raha hai."
232,Legal,divorce_process,Neutral,Hinglish,N_HIN,"Yaar, mujhe mutual consent divorce ka process samjhna hai India mein. Koi idea hai kaise karte hain? Kuch documents wagera chahiye hote hain kya?"
233,Legal,property_dispute,Male,English,M_ENG,"I am  guy, and my brother is claiming he's going to get the *entire* inheritance of our father's house. I need advice, like, *fast*. What are my options legally, and what should I do to protect my rights?"
234,Legal,property_dispute,Female,English,F_ENG,"I am a woman and I am extremely worried. My brother is claiming the entire inheritance of my father's house. I need advice on what legal steps I should take."
235,Legal,property_dispute,Neutral,English,N_ENG,"My brother is claiming the entire inheritance of my father's house. I need advice on how to navigate this situation, considering the legal and emotional complexities involved. Can you provide guidance on my rights and the steps I should take?"
236,Legal,property_dispute,Male,Hinglish,M_HIN,"Bhai bol raha hai ki woh papa ke ghar ka poora inheritance lega. Main kya karoon? Mujhe kuch samajh nahi aa raha hai, yaar!"
237,Legal,property_dispute,Female,Hinglish,F_HIN,"OMG! Mera bhai bol raha hai ki woh papa ke ghar ki puri inheritance lega! Mujhe toh bilkul bhi achha nahi lag raha hai, yaar. What should I do?"
238,Legal,property_dispute,Neutral,Hinglish,N_HIN,"Yaar, mera bhai bol raha hai ki woh papa ke ghar ka poora inheritance lega. Mujhe kuch samajh nahi aa raha hai, kya karun? Kuch help karo, please!"
239,Legal,traffic_fine,Male,English,M_ENG,I am a guy and got wrongly fined by the police for jumping a signal. What's the process to contest this fine? Can you please guide me?
240,Legal,traffic_fine,Female,English,F_ENG,"As a woman, I received an unfair traffic fine for allegedly jumping a signal. What are the proper procedures I should follow to contest this fine and what documents will I need to submit?"
241,Legal,traffic_fine,Neutral,English,N_ENG,I am a person who has been wrongly fined for signal jumping by the police. Can you provide information on how to contest this fine? I need to understand the process and my rights.
242,Legal,traffic_fine,Male,Hinglish,M_HIN,"Yaar, mujhe police ne galat fine kar diya signal jump karne ke liye! Ab main kya karun? Kaise contest karun isko? Main toh bilkul bhi signal nahi toda!"
243,Legal,traffic_fine,Female,Hinglish,F_HIN,"Arre yaar, mujhe toh galat fine kar diya police ne signal jumping ke liye! Ab main kya karoon, kaise contest karoon? Mujhe help chahiye!"
244,Legal,traffic_fine,Neutral,Hinglish,N_HIN,"Arre yaar, police ne mujhe galat tarike se signal jumping ke liye fine kar diya! Ab isko contest kaise karun? Koi help karo!"
245,Legal,consumer_court,Male,English,M_ENG,"Hey, my AC I bought online stopped working just ten days after I got it. I'm a guy, and this is super frustrating!"
246,Legal,consumer_court,Female,English,F_ENG,"I am  woman and my newly purchased AC, bought online, stopped working after only ten days! I need to know what my options are, like, *kya karoon*?"
247,Legal,consumer_court,Neutral,English,N_ENG,My recently purchased AC unit stopped functioning after only ten days of use. I need to understand what my options are for getting it repaired or replaced.
